id,domain,target,source_id,source_locator,truth_class,claim,geometry_write_authority,confidence,ingested_at,guard,numeric_json
obs.material.kh_tensile,geomechanics,khafre_backing_limestone,src.npj2020.materials,splitting tensile strength results,LAB_MEASURED_SAMPLE_RANGE,Khafre/Chephren backing-limestone split tensile strength reported from 1.79 to 3.71 MPa.,NONE_MATERIAL_PRIOR,HIGH_WITH_SOURCE_INTERNAL_CONFLICT,2026-09-12,"Main text reports 1.79–3.71 MPa, while Table 13 sample 5 is 1.49 MPa. Treat paragraph range as a reported summary only; use source_discrepancies.json and sample rows for modeling.","{""min"":1.79,""max"":3.71,""unit"":""MPa"",""representation"":""PARAGRAPH_REPORTED_RANGE""}"
obs.material.kh_shear,geomechanics,khafre_backing_limestone,src.npj2020.materials,single-shear results,LAB_MEASURED_SAMPLE_RANGE,Khafre/Chephren backing-limestone single-shear strength reported from 1.67 to 2.28 MPa.,NONE_MATERIAL_PRIOR,HIGH_WITH_SAMPLE_SCOPE,2026-09-12,,"{""min"":1.67,""max"":2.28,""unit"":""MPa""}"
obs.material.giza_density,materials,giza_backing_limestone_context,src.npj2020.materials,physical-property results across three pyramids,LAB_MEASURED_CONTEXT_RANGE,Backing-limestone unit/bulk-density context across sampled Giza pyramid materials is reported approximately 1.99–2.31 g/cm³.,NONE_CONTEXT_ONLY,MEDIUM_HIGH_CROSS_PYRAMID,2026-09-12,,"{""min"":1.99,""max"":2.31,""unit"":""g/cm3""}"
obs.material.giza_porosity,materials,giza_backing_limestone_context,src.npj2020.materials,physical-property results across three pyramids,LAB_MEASURED_CONTEXT_RANGE,Total porosity across sampled backing limestone from the three Giza pyramids is reported around 21–33%.,NONE_CONTEXT_ONLY,MEDIUM_HIGH_CROSS_PYRAMID,2026-09-12,,"{""min"":21,""max"":33,""unit"":""percent""}"
obs.material.giza_absorption,materials,giza_backing_limestone_context,src.npj2020.materials,physical-property results across three pyramids,LAB_MEASURED_CONTEXT_RANGE,Water absorption across sampled backing limestone from the three Giza pyramids is reported around 12–20%.,NONE_CONTEXT_ONLY,MEDIUM_HIGH_CROSS_PYRAMID,2026-09-12,,"{""min"":12,""max"":20,""unit"":""percent""}"
obs.geology.aigner_structure,geology,giza_plateau,src.aigner1983,abstract,PUBLISHED_GEOLOGICAL_INTERPRETATION,Aigner identifies bedrock lithology and structural features including joint pattern and faults as morphogenetic controls on Giza plateau cliff morphology.,GEOLOGICAL_NULL_CONTEXT,HIGH,2026-09-12,,
obs.scidep.multiview_plan,muography,khafre_pyramid,src.scidep2025,arXiv abstract,PROJECT_METHOD_STATUS,"ScIDEP plans muon scanning from multiple viewpoints, including inside the burial chamber and outside the pyramid, to search for internal structures.",NONE_NO_RESULT_YET,HIGH,2026-09-12,Project description is not a detection result.,
obs.kh2025laser.exists,laser_scanning,khafre_pyramid,src.aera.kh2025_laser,AERAGRAM 26:1-2 bibliography/title,PUBLICATION_METADATA,AERA reports a 2025 publication describing the first laser survey of the Second Great Pyramid (Khafre).,ACQUISITION_PRIORITY_NO_NUMERIC_INGEST,HIGH,2026-09-12,Detailed point-cloud data/measurements were not public in this ingest; no values are inferred.,
obs.material.kh_table13_samples,materials,khafre_backing_limestone,src.npj2020.materials,Table 13,LAB_MEASURED_SAMPLE_SET,"Five Khafre/Chephren backing-limestone sample rows are normalized in material_samples_khafre.json, including compressive, tensile, shear, P-wave, rebound and toughness measurements.",NONE_MATERIAL_PRIOR,HIGH_WITH_SOURCE_INTERNAL_TENSILE_DISCREPANCY,2026-09-12,,"{""sample_count"":5,""compressive_strength_MPa_table_min"":12.79,""compressive_strength_MPa_table_max"":17.78,""p_wave_velocity_km_s_min"":4.5,""p_wave_velocity_km_s_max"":6.8}"
obs.material.kh_elastic_modulus,geomechanics,khafre_backing_limestone,src.npj2020.materials,UCS/Young modulus results paragraph; Table 14,LAB_REPORTED_SUMMARY,Study reports average elastic modulus of 13.82 GPa for five tested Khafre/Chephren backing-limestone cylinders.,NONE_MATERIAL_PRIOR,HIGH_WITH_SAMPLE_SCOPE,2026-09-12,,"{""average"":13.82,""unit"":""GPa"",""sample_count"":5}"
obs.material.kh_pwave,acoustics_geomechanics,khafre_backing_limestone,src.npj2020.materials,Table 13 and P-wave results paragraph,LAB_MEASURED_SAMPLE_RANGE,Khafre/Chephren backing-limestone P-wave velocities span 4.5–6.8 km/s in the five Table 13 samples.,NONE_MATERIAL_PRIOR,HIGH_WITH_SAMPLE_SCOPE,2026-09-12,,"{""min"":4.5,""max"":6.8,""unit"":""km/s""}"
obs.material.kh_physical_samples,materials,khafre_backing_limestone,src.npj2020.materials,Table 10 Khafre/Chephren rows,LAB_MEASURED_SAMPLE_SET,Three Khafre/Chephren petro-physical sample rows are normalized in material_physical_khafre.json.,NONE_MATERIAL_PRIOR,HIGH_WITH_SAMPLE_SCOPE,2026-09-12,,"{""sample_count"":3,""unit_weight_g_cm3"":[2.25,2.31],""total_porosity_percent"":[21,24],""water_absorption_percent"":[12.62,15.2]}"
obs.digitalgiza.khafre_photo_count,imagery,khafre_pyramid,src.digitalgiza.khafre.photos,Digital Giza Khafre Pyramid — All Photos,LIVE_ARCHIVE_CATALOG_COUNT,Digital Giza currently lists 406 photo records under Khafre Pyramid All Photos.,NONE_DISCOVERY_ONLY,HIGH_AT_ACCESS_TIME,2026-09-12,,"{""photo_records"":406}"
obs.digitalgiza.plan_register,survey_architecture,khafre_complex,src.digitalgiza.home,"Digital Giza plan records / Maragioglio-Rinaldi V plates 005, 008, 009, 013, 014, 015",ARCHIVAL_PLAN_REGISTER,Six specifically identified Khafre complex/interior/temple plan records are normalized in plan_register.json with stable Digital Giza IDs and target scopes.,REFERENCE_CROSSCHECK_ONLY,HIGH,2026-09-12,,"{""registered_plans"":6}"
obs.arce.archive_final_counts,imagery_survey_archive,sphinx_khafre_context,src.arce.sphinx_archive_final,ARCE Sphinx Mapping Digital Database final digitization description,FINAL_DIGITIZATION_INVENTORY,"Final digitization description reports 364 maps/drawings, 3,857 slides and 1,740 black-and-white photographs.",NONE_ARCHIVE_CONTEXT,HIGH,2026-09-12,Earlier AERA inventory reports larger slide/photo counts; see source_discrepancies.json.,"{""maps_drawings"":364,""slides"":3857,""black_white_photos"":1740}"
obs.sar.method_retracted,remote_sensing_method_audit,deep_claim_methodology,src.mdpi2026.sar_retraction,"Remote Sensing 2026, 18(16), 2679",PUBLISHER_STATUS,The 2022 SAR Doppler tomography paper was retracted on 10 August 2026 after publisher investigation reported serious methodological flaws and statistical errors undermining its scientific conclusions.,NONE,PUBLISHER_PRIMARY,2026-09-12,This status weakens that method lineage; it is not by itself a direct test of any separate Khafre measurement dataset.,
obs.commons.khafre_media_surface,imagery,khafre_complex,src.commons.khafre,Wikimedia Commons Khafre categories; media_collections.json,LIVE_ARCHIVE_CATALOG_COUNTS,"Commons exposes substantial open/reuse-reviewed Khafre imagery across pyramid, interior, details, historical, mortuary-complex and temple categories; category counts overlap and are not summed as unique files.",NONE_DISCOVERY_ONLY,HIGH_AT_ACCESS_TIME,2026-09-12,Every asset remains subject to its file-page license and per-asset rights record.,"{""root_pyramid_files"":182,""interior_files"":34,""detail_files"":50,""historical_files"":38,""mortuary_complex_root_files"":17,""valley_temple_root_files"":35,""valley_temple_interior_files"":46,""mortuary_temple_files"":20}"
obs.khafre.facade_photo_condition_2009_2012,structural_condition,khafre_facades,src.procedia2016.khafre_deformations,Abstract / field-method description,PUBLISHED_FIELD_OBSERVATION,"Photographic documentation of Khafre facades was performed from 2009–2012, and locations of major fractures/cracks were verified in situ in 2012.",NONE_CONDITION_ONLY,PEER_REVIEWED_OPEN_ACCESS,2026-09-12,Condition evidence does not alter nominal pyramid geometry.,"{""photo_campaign_start"":2009,""photo_campaign_end"":2012,""field_verification_year"":2012}"
obs.aera.gpmp.control_network,survey_control,giza_plateau,src.aera.gpmp_survey,AERA Archaeological Survey project description,INSTITUTIONAL_METHOD_RECORD,AERA describes the GPMP as a high-precision mapping program begun in 1984 with a survey control network; from 2012 the GDFS surveyed all three major pyramids and surrounding major features.,NONE_METHOD_CONTEXT,INSTITUTIONAL_PRIMARY,2026-09-12,Program description is not a coordinate dataset; raw control coordinates still require acquisition and transform receipts.,
obs.dash.khafre_corner_control_dataset,survey_control,khafre_pyramid,src.dash.giza_surveys,Surveys at Giza on Google Earth / Giza Pyramids Corners and Centers,PUBLIC_SURVEY_DATA_INDEX,"The public survey index identifies Giza-Corner-Points-2v17.kmz as the latest corners/centers file and states Khafre corner/center estimates are based on Petrie’s 1880–1881 survey, with elevations supplied from Petrie and Maragioglio/Rinaldi.",NONE_UNTIL_DATASET_REGISTERED,HIGH_SOURCE_INDEX,2026-09-12,Filename/method metadata are ingested; coordinate values are not invented or promoted before the file is acquired and transformed.,"{""named_control_markers"":4}"
obs.khafre.laser_survey_2025_exists,laser_scanning,khafre_pyramid,src.aera2025.khafre_laser,AERA GPMP bibliography / AERAgram 26(1–2) 2025,PUBLICATION_METADATA,AERA lists a 2025 article titled “Beamoin in on Khafre: The First Laser Survey of the Second Great Pyramid.”,NONE_DATA_NOT_ACQUIRED,INSTITUTIONAL_BIBLIOGRAPHY,2026-09-12,Publication existence does not expose the underlying laser measurements; no laser geometry is inferred.,
obs.kawae2019.drone3d_method,photogrammetry_method,giza_plateau,src.kawae2019.drone3d,"IATSS Review 44(2), 117–123",PEER_REVIEWED_METHOD_CONTEXT,The open-access 2019 report describes drone-based 3D survey work at the Giza pyramids as a route to updating pyramid form survey data.,NONE_METHOD_ONLY,PEER_REVIEWED_OPEN_ACCESS,2026-09-12,Method context does not grant access to Khafre-specific point clouds or measurements.,
obs.nell2006.khafre.north_casing_orientation,survey_control,khafre_pyramid,src.nell_ruggles2014,"Table 3a/3b, pp. 17–19 preprint pagination",MEASURED_TOTAL_STATION_BEST_FIT,Khafre north casing-foundation alignment measured by Total Station best-fit line.,ORIENTATION_CONSTRAINT_ONLY,HIGH,2026-09-12,Side-specific measured line; do not force all four sides into an exact square or replace canonical geometry without review.,"{""point_count"":13,""best_fit_azimuth_deg"":89.93666666666667,""deviation_from_cardinality_arcmin"":-3.8}"
obs.nell2006.khafre.east_casing_orientation,survey_control,khafre_pyramid,src.nell_ruggles2014,"Table 3a/3b, pp. 17–19 preprint pagination",MEASURED_TOTAL_STATION_BEST_FIT,Khafre east casing-foundation alignment measured by Total Station best-fit line.,ORIENTATION_CONSTRAINT_ONLY,HIGH,2026-09-12,Side-specific measured line; do not force all four sides into an exact square or replace canonical geometry without review.,"{""point_count"":19,""best_fit_azimuth_deg"":359.93333333333334,""deviation_from_cardinality_arcmin"":-4}"
obs.nell2006.khafre.south_casing_orientation,survey_control,khafre_pyramid,src.nell_ruggles2014,"Table 3a/3b, pp. 17–19 preprint pagination",MEASURED_TOTAL_STATION_BEST_FIT,Khafre south casing-foundation alignment measured by Total Station best-fit line.,ORIENTATION_CONSTRAINT_ONLY,HIGH,2026-09-12,Side-specific measured line; do not force all four sides into an exact square or replace canonical geometry without review.,"{""point_count"":11,""best_fit_azimuth_deg"":89.90333333333334,""deviation_from_cardinality_arcmin"":-5.8}"
obs.nell2006.khafre.west_casing_orientation,survey_control,khafre_pyramid,src.nell_ruggles2014,"Table 3a/3b, pp. 18–19 preprint pagination",MEASURED_TOTAL_STATION_BEST_FIT,Khafre west casing-foundation alignment measured by Total Station best-fit line.,ORIENTATION_CONSTRAINT_ONLY,HIGH,2026-09-12,Side-specific measured line; do not force all four sides into an exact square or replace canonical geometry without review.,"{""point_count"":11,""best_fit_azimuth_deg"":359.93,""deviation_from_cardinality_arcmin"":-4.2}"
obs.nell2006.khafre.repeatability,survey_method,khafre_pyramid,src.nell_ruggles2014,"discussion after Table 3a, preprint p.19",MEASURED_REPEATABILITY_STATEMENT,An independently repeated line of more than 10 points on the west first course confirmed the survey result to within 0.2 arcmin; two shorter repeated lines were consistent within expected margins.,METHOD_UNCERTAINTY_CONTEXT,HIGH,2026-09-12,Repeatability is not total absolute orientation uncertainty.,"{""reported_repeatability_arcmin"":0.2,""applies_to"":""repeated line >10 points""}"
obs.nell2006.khafre.causeway_north,survey_control,khafre_causeway,src.nell_ruggles2014,"Table 4a/discussion, preprint pp.19–20",MEASURED_TOTAL_STATION_BEST_FIT,North edge of Khafre causeway measured from 8 points.,ORIENTATION_CONSTRAINT_ONLY,HIGH,2026-09-12,,"{""point_count"":8,""best_fit_azimuth_deg"":103.43333333333334,""reciprocal_azimuth_deg"":283.43333333333334}"
obs.nell2006.khafre.causeway_width,survey_control,khafre_causeway,src.nell_ruggles2014,"causeway discussion, preprint p.20",MEASURED_SURVEY_SUMMARY,Surveyed Khafre causeway section had mean width 8.29 m.,MEASUREMENT_CANDIDATE_REVIEW_REQUIRED,HIGH,2026-09-12,Applies to the surveyed section; do not assume uniform full causeway width without plan/survey reconciliation.,"{""mean_width_m"":8.29}"
obs.gpmp.frame_origin,survey_control,giza_plateau,src.dash.gpmp_frame2015,"AERAGRAM 16-2, analysis section",PUBLISHED_COORDINATE_FRAME_DEFINITION,"GPMP control grid assigns the computed center of the Great Pyramid N100000, E500000; northing is y and easting is x.",FRAME_DEFINITION_ONLY,HIGH,2026-09-12,Defines GPMP planar coordinates; does not by itself give the Khafre local-frame translation.,"{""origin_feature"":""Khufu computed center"",""northing_m"":100000,""easting_m"":500000,""axis_n"":""northing"",""axis_e"":""easting""}"
obs.gpmp.g1_1.2015,survey_control,giza_plateau,src.dash.gpmp_frame2015,"AERAGRAM 16-2, GPMP grid example",PUBLISHED_SURVEY_CONTROL,Example GPMP northeast survey marker coordinate near Great Pyramid.,CONTROL_CONTEXT_ONLY,HIGH,2026-09-12,"Khufu-area control; useful for GPMP frame validation, not a direct Khafre control.","{""point_id"":""G1.1 / northeast marker"",""northing_m"":100115.803,""easting_m"":500115.61}"
obs.gpmp.sp4,survey_control,khafre_valley_temple_context,src.dash.gpmp_geophys2006,"section “South of the Khafre Valley Temple”, Figure 29 context",PUBLISHED_SURVEY_CONTROL,Control point SP4 was established just south of the Khafre Valley Temple for the 2006 geophysical survey.,CONTROL_CONTEXT_ONLY,HIGH,2026-09-12,Z/elevation is not present in the cited passage and remains unresolved.,"{""point_id"":""SP4"",""northing_m"":99459.759,""easting_m"":500390.022,""elevation_m"":null}"
obs.petrie_stations.gpmp_bridge,survey_control,giza_plateau,src.dash.petrie_stations2017,"AERAGRAM 18-1, pp.16–17",PUBLISHED_FRAME_BRIDGE_METADATA,Dash reports converting Petrie’s survey-station coordinates into the modern GPMP grid and latitude/longitude; stations B and G were recovered in the Khafre-complex area.,NONE_UNTIL_TABLE_ACQUIRED,HIGH,2026-09-12,Underlying coordinate table is not ingested; do not invent station coordinates.,
obs.gpmp.g1_1.2012,survey_control,giza_plateau,src.dash.giza_surveys,"AERAGRAM 13-2, New Angles on the Great Pyramid, NE confidence plot",PUBLISHED_SURVEY_CONTROL,2012 publication gives Petrie Station Q / control G1.1 in GPMP coordinates.,CONTROL_CONTEXT_ONLY,HIGH,2026-09-12,Preserve separately from later 2015/reestablished value; do not silently average millimetric variants.,"{""point_id"":""G1.1 / Petrie Q"",""northing_m"":100115.802,""easting_m"":500115.607}"
obs.gpmp.g1_2.2012,survey_control,giza_plateau,src.dash.giza_surveys,"AERAGRAM 13-2, New Angles on the Great Pyramid, SE confidence plot",PUBLISHED_SURVEY_CONTROL,2012 publication gives Petrie Station U / control G1.2 in GPMP coordinates.,CONTROL_CONTEXT_ONLY,HIGH,2026-09-12,Published survey control; vertical coordinate is not ingested from this figure.,"{""point_id"":""G1.2 / Petrie U"",""northing_m"":99884.402,""easting_m"":500115.858}"
obs.gpmp.g1_4.2012,survey_control,giza_plateau,src.dash.giza_surveys,"AERAGRAM 13-2, published GPMP survey-control plot",PUBLISHED_SURVEY_CONTROL,2012 publication gives Petrie Station O / control G1.4 in GPMP coordinates.,CONTROL_CONTEXT_ONLY,HIGH,2026-09-12,Published survey control; retain the publication epoch/source with the coordinate.,"{""point_id"":""G1.4 / Petrie O"",""northing_m"":100115.591,""easting_m"":499883.898}"
obs.ministry.sphinx.bedrock,archaeology,great_sphinx,src.egypt_ministry.sphinx,official monument page,OFFICIAL_SUMMARY,The Great Sphinx is described by the Egyptian Ministry as carved directly from the bedrock during Dynasty 4.,NONE_CONTEXT_ONLY,HIGH,2026-09-12,,
obs.ministry.sphinx.khafre_attribution,chronology,great_sphinx,src.egypt_ministry.sphinx,official monument page,OFFICIAL_INTERPRETATION,The Ministry states that available evidence points to carving during the reign of Khafre.,NONE_CONTEXT_ONLY,HIGH_INSTITUTIONAL,2026-09-12,,
obs.ministry.sphinx.sequence,archaeology,khafre_lower_complex,src.egypt_ministry.sphinx,official monument page,OFFICIAL_INTERPRETATION,The Ministry reports that archaeological analysis places completion of Khafre’s Valley Temple before work on the Great Sphinx and Sphinx Temple.,NONE_CONTEXT_ONLY,HIGH_INSTITUTIONAL,2026-09-12,,
obs.ministry.giza.complex_typology,architecture,giza_plateau,src.egypt_ministry.giza_plateau,official site page,OFFICIAL_SUMMARY,"The official Giza Plateau summary describes royal pyramid complexes as broader ensembles including subsidiary/queens pyramids, temples, causeways, mastabas and boat burials rather than isolated pyramids.",NONE_CONTEXT_ONLY,HIGH,2026-09-12,,
obs.digitalgiza.valley.finds17,archaeology,khafre_valley_temple,src.digitalgiza.khafre_valley_temple,Digital Giza site record,CATALOG_FACT,"Digital Giza indexes 17 finds for Khafre Valley Temple, including multiple seated/fragmentary Khafre statues and pottery.",NONE_CATALOG_ONLY,HIGH,2026-09-12,,"{""value"":17,""unit"":""catalog_records""}"
obs.digitalgiza.valley.excavators,excavation_history,khafre_valley_temple,src.digitalgiza.khafre_valley_temple,Digital Giza site record,CATALOG_FACT,"Digital Giza lists Mariette, Steindorff and Petrie among excavators associated with Khafre Valley Temple.",NONE_CATALOG_ONLY,HIGH,2026-09-12,,
obs.digitalgiza.pyramid_temple.finds5,archaeology,khafre_pyramid_temple,src.digitalgiza.khafre_pyramid_temple,Digital Giza site record,CATALOG_FACT,"Digital Giza indexes five finds for Khafre Pyramid Temple, including a cast of an architrave with Khafre’s name and a lower part of a diorite statue.",NONE_CATALOG_ONLY,HIGH,2026-09-12,,"{""value"":5,""unit"":""catalog_records""}"
obs.digitalgiza.pyramid_temple.excavators,excavation_history,khafre_pyramid_temple,src.digitalgiza.khafre_pyramid_temple,Digital Giza site record,CATALOG_FACT,"Digital Giza lists Junker, Borchardt and Hölscher as excavators associated with Khafre Pyramid Temple.",NONE_CATALOG_ONLY,HIGH,2026-09-12,,
obs.perring1840.chamber_roof,architecture,khafre_burial_chamber,src.perring1840.khafre,Plate III description,HISTORICAL_PRIMARY_OBSERVATION,Perring described the burial chamber as excavated in rock with an angular roof of compact stone blocks extending into the rock beyond the chamber sides.,HISTORICAL_GEOMETRY_CROSSCHECK,MEDIUM_HIGH,2026-09-12,,
obs.perring1840.sarcophagus_setting,architecture,khafre_sarcophagus,src.perring1840.khafre,Plate III description,HISTORICAL_PRIMARY_OBSERVATION,"Perring recorded the sarcophagus sunk into the western floor zone, surrounded by large granite blocks and bedded on a granite slab in cement.",HISTORICAL_GEOMETRY_CROSSCHECK,MEDIUM_HIGH,2026-09-12,,
obs.perring1840.wall_holes,architecture,khafre_burial_chamber,src.perring1840.khafre,Plate III description,HISTORICAL_PRIMARY_OBSERVATION,Perring recorded rectangular holes in the north and south sides of the burial chamber and red traced outlines beneath them; their purpose was uncertain.,NONE_INTERPRETATION_UNRESOLVED,MEDIUM_HIGH,2026-09-12,,
obs.perring1840.lower_water_stain,hydrology_history,khafre_lower_chamber,src.perring1840.khafre,Plate IV description,HISTORICAL_PRIMARY_OBSERVATION,"Perring reported a wall stain interpreted as evidence that water had once stood about 12 inches deep in the lower chamber. This is a nineteenth-century condition observation, not a modern groundwater measurement.",NONE_HISTORICAL_CONDITION_ONLY,MEDIUM,2026-09-12,,"{""value"":12,""unit"":""in"",""si_value"":0.3048,""si_unit"":""m""}"
obs.belzoni.discovery_date,exploration_history,khafre_interior,src.britishmuseum.belzoni_medal,British Museum collection record M.5597,MUSEUM_DOCUMENTED_EVENT,The British Museum records that Belzoni discovered the entrance and passages leading to Khafre’s burial chamber on 2 March 1818.,NONE_HISTORY_ONLY,HIGH,2026-09-12,,
obs.met.architrave.origin,epigraphy,khafre_pyramid_temple,src.met.khafre_architrave,Met object record N.A.1999.4.1,CURATORIAL_INTERPRETATION,The Met identifies the original red-granite architrave as made for Khafre and probably from the court of his pyramid temple at Giza.,NONE_CONTEXT_ONLY,HIGH_CURATORIAL,2026-09-12,,
obs.met.architrave.reuse,reuse_history,khafre_architrave,src.met.khafre_architrave,Met object record N.A.1999.4.1,CURATORIAL_INTERPRETATION,"The Met records later reuse of the original Khafre architrave in the entrance corridor of Amenemhat I’s pyramid at Lisht, more than five centuries later.",NONE_CONTEXT_ONLY,HIGH_CURATORIAL,2026-09-12,,
obs.met.face.attribution,art_history,khafre_royal_sculpture,src.met.khafre_face,Met object 543896,CURATORIAL_INTERPRETATION,"The Met attributes the fragmentary royal face to Khafre based on find context, royal-beard traces and similarity to temple statues.",NONE_CONTEXT_ONLY,HIGH_CURATORIAL,2026-09-12,,
obs.unesco.inscription1979,heritage,memphis_necropolis,src.unesco.memphis_necropolis,World Heritage property 86,INSTITUTIONAL_RECORD,"Memphis and its Necropolis, including the Giza pyramid fields, was inscribed on the World Heritage List in 1979.",NONE_HERITAGE_CONTEXT,HIGH,2026-09-12,,"{""value"":1979,""unit"":""year""}"
obs.unesco.property_area,heritage,memphis_necropolis,src.unesco.memphis_necropolis,World Heritage property 86,INSTITUTIONAL_RECORD,"UNESCO reports a total World Heritage property area of 16,358.52 hectares.",NONE_HERITAGE_CONTEXT,HIGH,2026-09-12,,"{""value"":16358.52,""unit"":""ha""}"
obs.unesco.giza_dahshur_area,heritage,pyramid_fields_giza_dahshur,src.unesco.memphis_necropolis,World Heritage maps component 86-002,INSTITUTIONAL_RECORD,"UNESCO reports component 86-002, the pyramid fields from Giza to Dahshur, as 16,203.36 hectares.",NONE_HERITAGE_CONTEXT,HIGH,2026-09-12,,"{""value"":16203.36,""unit"":""ha""}"
obs.aera.sphinx_quarry_link,archaeology,sphinx_temple,src.aera.kh_monuments_unit,Khafre’s Monuments as a Unit,EXPERT_ARCHAEOLOGICAL_INTERPRETATION,"AERA reports geological matching between Sphinx-quarry strata and blocks in the Sphinx Temple, supporting a shared quarry/construction sequence.",NONE_INTERPRETATION_ONLY,HIGH_EXPERT,2026-09-12,,
obs.aera.causeway_precedes_sphinx_quarry,construction_sequence,khafre_causeway,src.aera.kh_monuments_unit,Khafre’s Monuments as a Unit,EXPERT_ARCHAEOLOGICAL_INTERPRETATION,"AERA interprets the south side of the Sphinx quarry as respecting an already-existing Khafre causeway foundation, placing the causeway before the Sphinx quarry in relative sequence.",NONE_INTERPRETATION_ONLY,HIGH_EXPERT,2026-09-12,,
obs.aera.valley_before_sphinx_temple,construction_sequence,khafre_lower_complex,src.aera.kh_sequence,Why Sequence is Important,EXPERT_ARCHAEOLOGICAL_INTERPRETATION,AERA sequences the Khafre Valley Temple before the Sphinx Temple because a Valley Temple enclosure wall was later incorporated into the Sphinx Temple.,NONE_INTERPRETATION_ONLY,HIGH_EXPERT,2026-09-12,,
obs.aera.area_c.function,workforce_archaeology,area_c,src.aera.area_c,Area C project summary,EXCAVATION_INTERPRETATION,"AERA’s re-excavation found Area C mostly empty with activity near gallery entrances and proposed storage/craft use rather than worker barracks, probably during Khafre construction.",NONE_CONTEXT_ONLY,MEDIUM_HIGH,2026-09-12,,
obs.aera.radiocarbon.1995_offset,chronology,old_kingdom_chronology,src.aera.radiocarbon,How Old Are the Pyramids?,RESEARCH_SUMMARY,"AERA reports that the 1995 radiocarbon set tended to be roughly 100–200 years older than the historical chronology, with substantial monument-level scatter.",NONE_CHRONOLOGY_CONTEXT,HIGH_SUMMARY,2026-09-12,,
obs.aera.radiocarbon.oldwood,chronology_method,old_kingdom_chronology,src.aera.radiocarbon,How Old Are the Pyramids?,METHOD_CAVEAT,AERA identifies reuse of old wood as an important mechanism that can make charcoal dates older than the construction event in which the material was burned.,NONE_METHOD_ONLY,HIGH,2026-09-12,,
