observation_id,domain,target,source_id,truth_class,geometry_write_authority,confidence,source_locator,claim,numeric_json
obs.material.giza_absorption,materials,giza_backing_limestone_context,src.npj2020.materials,LAB_MEASURED_CONTEXT_RANGE,NONE_CONTEXT_ONLY,MEDIUM_HIGH_CROSS_PYRAMID,physical-property results across three pyramids,Water absorption across sampled backing limestone from the three Giza pyramids is reported around 12–20%.,"{""min"":12,""max"":20,""unit"":""percent""}"
obs.geology.aigner_structure,geology,giza_plateau,src.aigner1983,PUBLISHED_GEOLOGICAL_INTERPRETATION,GEOLOGICAL_NULL_CONTEXT,HIGH,abstract,Aigner identifies bedrock lithology and structural features including joint pattern and faults as morphogenetic controls on Giza plateau cliff morphology.,
obs.scidep.multiview_plan,muography,khafre_pyramid,src.scidep2025,PROJECT_METHOD_STATUS,NONE_NO_RESULT_YET,HIGH,arXiv abstract,"ScIDEP plans muon scanning from multiple viewpoints, including inside the burial chamber and outside the pyramid, to search for internal structures.",
obs.kh2025laser.exists,laser_scanning,khafre_pyramid,src.aera.kh2025_laser,PUBLICATION_METADATA,ACQUISITION_PRIORITY_NO_NUMERIC_INGEST,HIGH,AERAGRAM 26:1-2 bibliography/title,AERA reports a 2025 publication describing the first laser survey of the Second Great Pyramid (Khafre).,
obs.material.kh_table13_samples,materials,khafre_backing_limestone,src.npj2020.materials,LAB_MEASURED_SAMPLE_SET,NONE_MATERIAL_PRIOR,HIGH_WITH_SOURCE_INTERNAL_TENSILE_DISCREPANCY,Table 13,"Five Khafre/Chephren backing-limestone sample rows are normalized in material_samples_khafre.json, including compressive, tensile, shear, P-wave, rebound and toughness measurements.","{""sample_count"":5,""compressive_strength_MPa_table_min"":12.79,""compressive_strength_MPa_table_max"":17.78,""p_wave_velocity_km_s_min"":4.5,""p_wave_velocity_km_s_max"":6.8}"
obs.material.kh_elastic_modulus,geomechanics,khafre_backing_limestone,src.npj2020.materials,LAB_REPORTED_SUMMARY,NONE_MATERIAL_PRIOR,HIGH_WITH_SAMPLE_SCOPE,UCS/Young modulus results paragraph; Table 14,Study reports average elastic modulus of 13.82 GPa for five tested Khafre/Chephren backing-limestone cylinders.,"{""average"":13.82,""unit"":""GPa"",""sample_count"":5}"
obs.material.kh_pwave,acoustics_geomechanics,khafre_backing_limestone,src.npj2020.materials,LAB_MEASURED_SAMPLE_RANGE,NONE_MATERIAL_PRIOR,HIGH_WITH_SAMPLE_SCOPE,Table 13 and P-wave results paragraph,Khafre/Chephren backing-limestone P-wave velocities span 4.5–6.8 km/s in the five Table 13 samples.,"{""min"":4.5,""max"":6.8,""unit"":""km/s""}"
obs.material.kh_physical_samples,materials,khafre_backing_limestone,src.npj2020.materials,LAB_MEASURED_SAMPLE_SET,NONE_MATERIAL_PRIOR,HIGH_WITH_SAMPLE_SCOPE,Table 10 Khafre/Chephren rows,Three Khafre/Chephren petro-physical sample rows are normalized in material_physical_khafre.json.,"{""sample_count"":3,""unit_weight_g_cm3"":[2.25,2.31],""total_porosity_percent"":[21,24],""water_absorption_percent"":[12.62,15.2]}"
obs.digitalgiza.khafre_photo_count,imagery,khafre_pyramid,src.digitalgiza.khafre.photos,LIVE_ARCHIVE_CATALOG_COUNT,NONE_DISCOVERY_ONLY,HIGH_AT_ACCESS_TIME,Digital Giza Khafre Pyramid — All Photos,Digital Giza currently lists 406 photo records under Khafre Pyramid All Photos.,"{""photo_records"":406}"
obs.digitalgiza.plan_register,survey_architecture,khafre_complex,src.digitalgiza.home,ARCHIVAL_PLAN_REGISTER,REFERENCE_CROSSCHECK_ONLY,HIGH,"Digital Giza plan records / Maragioglio-Rinaldi V plates 005, 008, 009, 013, 014, 015",Six specifically identified Khafre complex/interior/temple plan records are normalized in plan_register.json with stable Digital Giza IDs and target scopes.,"{""registered_plans"":6}"
obs.arce.archive_final_counts,imagery_survey_archive,sphinx_khafre_context,src.arce.sphinx_archive_final,FINAL_DIGITIZATION_INVENTORY,NONE_ARCHIVE_CONTEXT,HIGH,ARCE Sphinx Mapping Digital Database final digitization description,"Final digitization description reports 364 maps/drawings, 3,857 slides and 1,740 black-and-white photographs.","{""maps_drawings"":364,""slides"":3857,""black_white_photos"":1740}"
obs.sar.method_retracted,remote_sensing_method_audit,deep_claim_methodology,src.mdpi2026.sar_retraction,PUBLISHER_STATUS,NONE,PUBLISHER_PRIMARY,"Remote Sensing 2026, 18(16), 2679",The 2022 SAR Doppler tomography paper was retracted on 10 August 2026 after publisher investigation reported serious methodological flaws and statistical errors undermining its scientific conclusions.,
obs.commons.khafre_media_surface,imagery,khafre_complex,src.commons.khafre,LIVE_ARCHIVE_CATALOG_COUNTS,NONE_DISCOVERY_ONLY,HIGH_AT_ACCESS_TIME,Wikimedia Commons Khafre categories; media_collections.json,"Commons exposes substantial open/reuse-reviewed Khafre imagery across pyramid, interior, details, historical, mortuary-complex and temple categories; category counts overlap and are not summed as unique files.","{""root_pyramid_files"":182,""interior_files"":34,""detail_files"":50,""historical_files"":38,""mortuary_complex_root_files"":17,""valley_temple_root_files"":35,""valley_temple_interior_files"":46,""mortuary_temple_files"":20}"
obs.khafre.facade_photo_condition_2009_2012,structural_condition,khafre_facades,src.procedia2016.khafre_deformations,PUBLISHED_FIELD_OBSERVATION,NONE_CONDITION_ONLY,PEER_REVIEWED_OPEN_ACCESS,Abstract / field-method description,"Photographic documentation of Khafre facades was performed from 2009–2012, and locations of major fractures/cracks were verified in situ in 2012.","{""photo_campaign_start"":2009,""photo_campaign_end"":2012,""field_verification_year"":2012}"
obs.aera.gpmp.control_network,survey_control,giza_plateau,src.aera.gpmp_survey,INSTITUTIONAL_METHOD_RECORD,NONE_METHOD_CONTEXT,INSTITUTIONAL_PRIMARY,AERA Archaeological Survey project description,AERA describes the GPMP as a high-precision mapping program begun in 1984 with a survey control network; from 2012 the GDFS surveyed all three major pyramids and surrounding major features.,
obs.dash.khafre_corner_control_dataset,survey_control,khafre_pyramid,src.dash.giza_surveys,PUBLIC_SURVEY_DATA_INDEX,NONE_UNTIL_DATASET_REGISTERED,HIGH_SOURCE_INDEX,Surveys at Giza on Google Earth / Giza Pyramids Corners and Centers,"The public survey index identifies Giza-Corner-Points-2v17.kmz as the latest corners/centers file and states Khafre corner/center estimates are based on Petrie’s 1880–1881 survey, with elevations supplied from Petrie and Maragioglio/Rinaldi.","{""named_control_markers"":4}"
obs.khafre.laser_survey_2025_exists,laser_scanning,khafre_pyramid,src.aera2025.khafre_laser,PUBLICATION_METADATA,NONE_DATA_NOT_ACQUIRED,INSTITUTIONAL_BIBLIOGRAPHY,AERA GPMP bibliography / AERAgram 26(1–2) 2025,AERA lists a 2025 article titled “Beamoin in on Khafre: The First Laser Survey of the Second Great Pyramid.”,
obs.kawae2019.drone3d_method,photogrammetry_method,giza_plateau,src.kawae2019.drone3d,PEER_REVIEWED_METHOD_CONTEXT,NONE_METHOD_ONLY,PEER_REVIEWED_OPEN_ACCESS,"IATSS Review 44(2), 117–123",The open-access 2019 report describes drone-based 3D survey work at the Giza pyramids as a route to updating pyramid form survey data.,
obs.nell2006.khafre.north_casing_orientation,survey_control,khafre_pyramid,src.nell_ruggles2014,MEASURED_TOTAL_STATION_BEST_FIT,ORIENTATION_CONSTRAINT_ONLY,HIGH,"Table 3a/3b, pp. 17–19 preprint pagination",Khafre north casing-foundation alignment measured by Total Station best-fit line.,"{""point_count"":13,""best_fit_azimuth_deg"":89.93666666666667,""deviation_from_cardinality_arcmin"":-3.8}"
obs.nell2006.khafre.east_casing_orientation,survey_control,khafre_pyramid,src.nell_ruggles2014,MEASURED_TOTAL_STATION_BEST_FIT,ORIENTATION_CONSTRAINT_ONLY,HIGH,"Table 3a/3b, pp. 17–19 preprint pagination",Khafre east casing-foundation alignment measured by Total Station best-fit line.,"{""point_count"":19,""best_fit_azimuth_deg"":359.93333333333334,""deviation_from_cardinality_arcmin"":-4}"
obs.nell2006.khafre.south_casing_orientation,survey_control,khafre_pyramid,src.nell_ruggles2014,MEASURED_TOTAL_STATION_BEST_FIT,ORIENTATION_CONSTRAINT_ONLY,HIGH,"Table 3a/3b, pp. 17–19 preprint pagination",Khafre south casing-foundation alignment measured by Total Station best-fit line.,"{""point_count"":11,""best_fit_azimuth_deg"":89.90333333333334,""deviation_from_cardinality_arcmin"":-5.8}"
obs.nell2006.khafre.west_casing_orientation,survey_control,khafre_pyramid,src.nell_ruggles2014,MEASURED_TOTAL_STATION_BEST_FIT,ORIENTATION_CONSTRAINT_ONLY,HIGH,"Table 3a/3b, pp. 18–19 preprint pagination",Khafre west casing-foundation alignment measured by Total Station best-fit line.,"{""point_count"":11,""best_fit_azimuth_deg"":359.93,""deviation_from_cardinality_arcmin"":-4.2}"
obs.nell2006.khafre.repeatability,survey_method,khafre_pyramid,src.nell_ruggles2014,MEASURED_REPEATABILITY_STATEMENT,METHOD_UNCERTAINTY_CONTEXT,HIGH,"discussion after Table 3a, preprint p.19",An independently repeated line of more than 10 points on the west first course confirmed the survey result to within 0.2 arcmin; two shorter repeated lines were consistent within expected margins.,"{""reported_repeatability_arcmin"":0.2,""applies_to"":""repeated line >10 points""}"
obs.nell2006.khafre.causeway_north,survey_control,khafre_causeway,src.nell_ruggles2014,MEASURED_TOTAL_STATION_BEST_FIT,ORIENTATION_CONSTRAINT_ONLY,HIGH,"Table 4a/discussion, preprint pp.19–20",North edge of Khafre causeway measured from 8 points.,"{""point_count"":8,""best_fit_azimuth_deg"":103.43333333333334,""reciprocal_azimuth_deg"":283.43333333333334}"
obs.nell2006.khafre.causeway_width,survey_control,khafre_causeway,src.nell_ruggles2014,MEASURED_SURVEY_SUMMARY,MEASUREMENT_CANDIDATE_REVIEW_REQUIRED,HIGH,"causeway discussion, preprint p.20",Surveyed Khafre causeway section had mean width 8.29 m.,"{""mean_width_m"":8.29}"
obs.gpmp.frame_origin,survey_control,giza_plateau,src.dash.gpmp_frame2015,PUBLISHED_COORDINATE_FRAME_DEFINITION,FRAME_DEFINITION_ONLY,HIGH,"AERAGRAM 16-2, analysis section","GPMP control grid assigns the computed center of the Great Pyramid N100000, E500000; northing is y and easting is x.","{""origin_feature"":""Khufu computed center"",""northing_m"":100000,""easting_m"":500000,""axis_n"":""northing"",""axis_e"":""easting""}"
obs.gpmp.g1_1.2015,survey_control,giza_plateau,src.dash.gpmp_frame2015,PUBLISHED_SURVEY_CONTROL,CONTROL_CONTEXT_ONLY,HIGH,"AERAGRAM 16-2, GPMP grid example",Example GPMP northeast survey marker coordinate near Great Pyramid.,"{""point_id"":""G1.1 / northeast marker"",""northing_m"":100115.803,""easting_m"":500115.61}"
obs.gpmp.sp4,survey_control,khafre_valley_temple_context,src.dash.gpmp_geophys2006,PUBLISHED_SURVEY_CONTROL,CONTROL_CONTEXT_ONLY,HIGH,"section “South of the Khafre Valley Temple”, Figure 29 context",Control point SP4 was established just south of the Khafre Valley Temple for the 2006 geophysical survey.,"{""point_id"":""SP4"",""northing_m"":99459.759,""easting_m"":500390.022,""elevation_m"":null}"
obs.petrie_stations.gpmp_bridge,survey_control,giza_plateau,src.dash.petrie_stations2017,PUBLISHED_FRAME_BRIDGE_METADATA,NONE_UNTIL_TABLE_ACQUIRED,HIGH,"AERAGRAM 18-1, pp.16–17",Dash reports converting Petrie’s survey-station coordinates into the modern GPMP grid and latitude/longitude; stations B and G were recovered in the Khafre-complex area.,
obs.gpmp.g1_1.2012,survey_control,giza_plateau,src.dash.giza_surveys,PUBLISHED_SURVEY_CONTROL,CONTROL_CONTEXT_ONLY,HIGH,"AERAGRAM 13-2, New Angles on the Great Pyramid, NE confidence plot",2012 publication gives Petrie Station Q / control G1.1 in GPMP coordinates.,"{""point_id"":""G1.1 / Petrie Q"",""northing_m"":100115.802,""easting_m"":500115.607}"
obs.gpmp.g1_2.2012,survey_control,giza_plateau,src.dash.giza_surveys,PUBLISHED_SURVEY_CONTROL,CONTROL_CONTEXT_ONLY,HIGH,"AERAGRAM 13-2, New Angles on the Great Pyramid, SE confidence plot",2012 publication gives Petrie Station U / control G1.2 in GPMP coordinates.,"{""point_id"":""G1.2 / Petrie U"",""northing_m"":99884.402,""easting_m"":500115.858}"
obs.gpmp.g1_4.2012,survey_control,giza_plateau,src.dash.giza_surveys,PUBLISHED_SURVEY_CONTROL,CONTROL_CONTEXT_ONLY,HIGH,"AERAGRAM 13-2, published GPMP survey-control plot",2012 publication gives Petrie Station O / control G1.4 in GPMP coordinates.,"{""point_id"":""G1.4 / Petrie O"",""northing_m"":100115.591,""easting_m"":499883.898}"
obs.ministry.sphinx.bedrock,archaeology,great_sphinx,src.egypt_ministry.sphinx,OFFICIAL_SUMMARY,NONE_CONTEXT_ONLY,HIGH,official monument page,The Great Sphinx is described by the Egyptian Ministry as carved directly from the bedrock during Dynasty 4.,
obs.ministry.sphinx.khafre_attribution,chronology,great_sphinx,src.egypt_ministry.sphinx,OFFICIAL_INTERPRETATION,NONE_CONTEXT_ONLY,HIGH_INSTITUTIONAL,official monument page,The Ministry states that available evidence points to carving during the reign of Khafre.,
obs.ministry.sphinx.sequence,archaeology,khafre_lower_complex,src.egypt_ministry.sphinx,OFFICIAL_INTERPRETATION,NONE_CONTEXT_ONLY,HIGH_INSTITUTIONAL,official monument page,The Ministry reports that archaeological analysis places completion of Khafre’s Valley Temple before work on the Great Sphinx and Sphinx Temple.,
obs.ministry.giza.complex_typology,architecture,giza_plateau,src.egypt_ministry.giza_plateau,OFFICIAL_SUMMARY,NONE_CONTEXT_ONLY,HIGH,official site page,"The official Giza Plateau summary describes royal pyramid complexes as broader ensembles including subsidiary/queens pyramids, temples, causeways, mastabas and boat burials rather than isolated pyramids.",
obs.digitalgiza.valley.finds17,archaeology,khafre_valley_temple,src.digitalgiza.khafre_valley_temple,CATALOG_FACT,NONE_CATALOG_ONLY,HIGH,Digital Giza site record,"Digital Giza indexes 17 finds for Khafre Valley Temple, including multiple seated/fragmentary Khafre statues and pottery.","{""value"":17,""unit"":""catalog_records""}"
obs.digitalgiza.valley.excavators,excavation_history,khafre_valley_temple,src.digitalgiza.khafre_valley_temple,CATALOG_FACT,NONE_CATALOG_ONLY,HIGH,Digital Giza site record,"Digital Giza lists Mariette, Steindorff and Petrie among excavators associated with Khafre Valley Temple.",
obs.digitalgiza.pyramid_temple.finds5,archaeology,khafre_pyramid_temple,src.digitalgiza.khafre_pyramid_temple,CATALOG_FACT,NONE_CATALOG_ONLY,HIGH,Digital Giza site record,"Digital Giza indexes five finds for Khafre Pyramid Temple, including a cast of an architrave with Khafre’s name and a lower part of a diorite statue.","{""value"":5,""unit"":""catalog_records""}"
obs.digitalgiza.pyramid_temple.excavators,excavation_history,khafre_pyramid_temple,src.digitalgiza.khafre_pyramid_temple,CATALOG_FACT,NONE_CATALOG_ONLY,HIGH,Digital Giza site record,"Digital Giza lists Junker, Borchardt and Hölscher as excavators associated with Khafre Pyramid Temple.",
obs.perring1840.chamber_roof,architecture,khafre_burial_chamber,src.perring1840.khafre,HISTORICAL_PRIMARY_OBSERVATION,HISTORICAL_GEOMETRY_CROSSCHECK,MEDIUM_HIGH,Plate III description,Perring described the burial chamber as excavated in rock with an angular roof of compact stone blocks extending into the rock beyond the chamber sides.,
obs.perring1840.sarcophagus_setting,architecture,khafre_sarcophagus,src.perring1840.khafre,HISTORICAL_PRIMARY_OBSERVATION,HISTORICAL_GEOMETRY_CROSSCHECK,MEDIUM_HIGH,Plate III description,"Perring recorded the sarcophagus sunk into the western floor zone, surrounded by large granite blocks and bedded on a granite slab in cement.",
obs.perring1840.wall_holes,architecture,khafre_burial_chamber,src.perring1840.khafre,HISTORICAL_PRIMARY_OBSERVATION,NONE_INTERPRETATION_UNRESOLVED,MEDIUM_HIGH,Plate III description,Perring recorded rectangular holes in the north and south sides of the burial chamber and red traced outlines beneath them; their purpose was uncertain.,
obs.perring1840.lower_water_stain,hydrology_history,khafre_lower_chamber,src.perring1840.khafre,HISTORICAL_PRIMARY_OBSERVATION,NONE_HISTORICAL_CONDITION_ONLY,MEDIUM,Plate IV description,"Perring reported a wall stain interpreted as evidence that water had once stood about 12 inches deep in the lower chamber. This is a nineteenth-century condition observation, not a modern groundwater measurement.","{""value"":12,""unit"":""in"",""si_value"":0.3048,""si_unit"":""m""}"
obs.belzoni.discovery_date,exploration_history,khafre_interior,src.britishmuseum.belzoni_medal,MUSEUM_DOCUMENTED_EVENT,NONE_HISTORY_ONLY,HIGH,British Museum collection record M.5597,The British Museum records that Belzoni discovered the entrance and passages leading to Khafre’s burial chamber on 2 March 1818.,
obs.met.architrave.origin,epigraphy,khafre_pyramid_temple,src.met.khafre_architrave,CURATORIAL_INTERPRETATION,NONE_CONTEXT_ONLY,HIGH_CURATORIAL,Met object record N.A.1999.4.1,The Met identifies the original red-granite architrave as made for Khafre and probably from the court of his pyramid temple at Giza.,
obs.met.architrave.reuse,reuse_history,khafre_architrave,src.met.khafre_architrave,CURATORIAL_INTERPRETATION,NONE_CONTEXT_ONLY,HIGH_CURATORIAL,Met object record N.A.1999.4.1,"The Met records later reuse of the original Khafre architrave in the entrance corridor of Amenemhat I’s pyramid at Lisht, more than five centuries later.",
obs.met.face.attribution,art_history,khafre_royal_sculpture,src.met.khafre_face,CURATORIAL_INTERPRETATION,NONE_CONTEXT_ONLY,HIGH_CURATORIAL,Met object 543896,"The Met attributes the fragmentary royal face to Khafre based on find context, royal-beard traces and similarity to temple statues.",
obs.unesco.inscription1979,heritage,memphis_necropolis,src.unesco.memphis_necropolis,INSTITUTIONAL_RECORD,NONE_HERITAGE_CONTEXT,HIGH,World Heritage property 86,"Memphis and its Necropolis, including the Giza pyramid fields, was inscribed on the World Heritage List in 1979.","{""value"":1979,""unit"":""year""}"
obs.unesco.property_area,heritage,memphis_necropolis,src.unesco.memphis_necropolis,INSTITUTIONAL_RECORD,NONE_HERITAGE_CONTEXT,HIGH,World Heritage property 86,"UNESCO reports a total World Heritage property area of 16,358.52 hectares.","{""value"":16358.52,""unit"":""ha""}"
obs.unesco.giza_dahshur_area,heritage,pyramid_fields_giza_dahshur,src.unesco.memphis_necropolis,INSTITUTIONAL_RECORD,NONE_HERITAGE_CONTEXT,HIGH,World Heritage maps component 86-002,"UNESCO reports component 86-002, the pyramid fields from Giza to Dahshur, as 16,203.36 hectares.","{""value"":16203.36,""unit"":""ha""}"
obs.aera.sphinx_quarry_link,archaeology,sphinx_temple,src.aera.kh_monuments_unit,EXPERT_ARCHAEOLOGICAL_INTERPRETATION,NONE_INTERPRETATION_ONLY,HIGH_EXPERT,Khafre’s Monuments as a Unit,"AERA reports geological matching between Sphinx-quarry strata and blocks in the Sphinx Temple, supporting a shared quarry/construction sequence.",
obs.aera.causeway_precedes_sphinx_quarry,construction_sequence,khafre_causeway,src.aera.kh_monuments_unit,EXPERT_ARCHAEOLOGICAL_INTERPRETATION,NONE_INTERPRETATION_ONLY,HIGH_EXPERT,Khafre’s Monuments as a Unit,"AERA interprets the south side of the Sphinx quarry as respecting an already-existing Khafre causeway foundation, placing the causeway before the Sphinx quarry in relative sequence.",
obs.aera.valley_before_sphinx_temple,construction_sequence,khafre_lower_complex,src.aera.kh_sequence,EXPERT_ARCHAEOLOGICAL_INTERPRETATION,NONE_INTERPRETATION_ONLY,HIGH_EXPERT,Why Sequence is Important,AERA sequences the Khafre Valley Temple before the Sphinx Temple because a Valley Temple enclosure wall was later incorporated into the Sphinx Temple.,
obs.aera.area_c.function,workforce_archaeology,area_c,src.aera.area_c,EXCAVATION_INTERPRETATION,NONE_CONTEXT_ONLY,MEDIUM_HIGH,Area C project summary,"AERA’s re-excavation found Area C mostly empty with activity near gallery entrances and proposed storage/craft use rather than worker barracks, probably during Khafre construction.",
obs.aera.radiocarbon.1995_offset,chronology,old_kingdom_chronology,src.aera.radiocarbon,RESEARCH_SUMMARY,NONE_CHRONOLOGY_CONTEXT,HIGH_SUMMARY,How Old Are the Pyramids?,"AERA reports that the 1995 radiocarbon set tended to be roughly 100–200 years older than the historical chronology, with substantial monument-level scatter.",
obs.aera.radiocarbon.oldwood,chronology_method,old_kingdom_chronology,src.aera.radiocarbon,METHOD_CAVEAT,NONE_METHOD_ONLY,HIGH,How Old Are the Pyramids?,AERA identifies reuse of old wood as an important mechanism that can make charcoal dates older than the construction event in which the material was burned.,
obs.bonani.sample_count,chronology_method,old_middle_kingdom_monuments,src.bonani2001.radiocarbon,PEER_REVIEWED_METHOD_RECORD,NONE_METHOD_ONLY,HIGH,"Radiocarbon 43(3), abstract",Bonani et al. report that more than 450 organic samples were collected from Old and Middle Kingdom monuments between 1984 and 1995 for radiocarbon chronology work.,"{""value"":450,""unit"":""samples"",""qualifier"":""more_than""}"
obs.material.kh.granite_base_casing,materials,khafre_casing,src.npj2020.materials,PUBLISHED_MATERIAL_INTERPRETATION,MATERIAL_CONTEXT_ONLY,MEDIUM_HIGH,Sustainability problems of the Giza pyramids,"The 2020 materials study reports that Khafre’s base casing layers included granite types sourced from the Aswan quarry region, while upper surviving casing is fine limestone.",
obs.material.kh.gypsum_mortar,materials,khafre_core_masonry,src.npj2020.materials,PUBLISHED_LAB_INTERPRETATION,MATERIAL_CONTEXT_ONLY,MEDIUM_HIGH,Sustainability problems of the Giza pyramids,"The 2020 materials study characterizes structural mortars joining Khafre backing limestone as gypsum-rich mortar with gypsum/anhydrite, calcite/rock fragments and minor constituents.",
obs.material.kh.local_quarry_context,quarrying,khafre_core_masonry,src.npj2020.materials,PUBLISHED_INTERPRETATION,MATERIAL_CONTEXT_ONLY,MEDIUM_HIGH,Sustainability problems of the Giza pyramids,The 2020 materials study states that local fossiliferous limestone from nearby Giza quarries—including trench/quarry areas around Khafre—supplied core/backing masonry.,
obs.geology.giza_cliffline,geology,giza_plateau,src.aigner1983,PEER_REVIEWED_GEOLOGY,NONE_GEOLOGY_CONTEXT,HIGH,abstract,"Aigner interprets Giza plateau escarpments as a Pliocene cliff-line and identifies lithology, joint patterns and faults as important geomorphological controls.",
obs.intent.royal_complex.funeral_afterlife,ritual_function,old_kingdom_royal_pyramid_complex,src.digitalgiza.royal_pyramid_complexes,SCHOLARLY_SYNTHESIS,NONE_INTERPRETIVE_CONTEXT,HIGH,Royal Pyramid Complexes lesson — complex purposes,"Digital Giza describes royal pyramid complexes as settings for the royal funeral, procession and preparation of the deceased ruler for the afterlife.",
obs.intent.royal_complex.offering_cult,ritual_function,old_kingdom_royal_pyramid_complex,src.digitalgiza.royal_pyramid_complexes,SCHOLARLY_SYNTHESIS,NONE_INTERPRETIVE_CONTEXT,HIGH,Royal Pyramid Complexes lesson — post-burial cult,"Digital Giza describes post-burial royal offering cult activity in pyramid complexes, including priestly care, offerings and ritual readings intended to sustain the deceased king.",
obs.intent.old_kingdom.solar_symbolism,ideology,old_kingdom_royal_pyramid_tradition,src.met.old_kingdom,SCHOLARLY_CONTEXT,NONE_CONTEXT_ONLY,MEDIUM_HIGH,Old Kingdom essay — royal funerary complex and solar cult,"The Met describes Old Kingdom royal funerary architecture as increasingly connected with solar kingship, including interpretation of the pyramid as a solar symbol associated with Heliopolitan tradition.",
