id,domain,subject,label,value,truth_class,verification_state,geometry_write_authority,source_ids,caveat
"kn.khafre.pyramid_temple.finds","archaeology","khafre_pyramid_temple","Digital Giza find inventory","5 indexed finds","CATALOG_FACT","CONFIRMED_SOURCE","NONE","src.digitalgiza.khafre_pyramid_temple","Catalog count, not excavation-total completeness."
"kn.khafre.architrave","epigraphy","khafre_pyramid_temple","Khafre named architrave","Original red-granite architrave bears Khafre titulary; probable pyramid-temple origin; later reused at Lisht","CURATORIAL_INTERPRETATION","CONFIRMED_SOURCE","NONE","src.met.khafre_architrave","Probable original placement remains curatorial reconstruction."
"kn.sphinx.bedrock","archaeology","great_sphinx","Fabric","Carved directly from Giza bedrock","OFFICIAL_SUMMARY","CONFIRMED_SOURCE","NONE","src.egypt_ministry.sphinx","No metric geometry authority."
"kn.sphinx.khafre_attribution","chronology","great_sphinx","Khafre attribution","Evidence strongly favors Khafre-period construction","ARCHAEOLOGICAL_INTERPRETATION","CROSS_SOURCE_STRONG_SUPPORT","NONE","src.egypt_ministry.sphinx;src.aera.kh_sequence;src.aera.kh_monuments_unit","Strong support is not mathematical proof; preserve alternative claims separately."
"kn.sphinx.sequence.valley_first","construction_sequence","khafre_lower_complex","Relative sequence","Valley Temple precedes Sphinx Temple; causeway precedes Sphinx quarry","ARCHAEOLOGICAL_INTERPRETATION","CROSS_SOURCE_STRONG_SUPPORT","NONE","src.egypt_ministry.sphinx;src.aera.kh_sequence;src.aera.kh_monuments_unit","Relative sequence, not absolute calendar date."
"kn.sphinx.quarry.block_matching","geology_archaeology","sphinx_temple","Quarry-construction link","AERA/ARCE geological mapping links Sphinx-quarry strata to Sphinx Temple core blocks","EXPERT_ARCHAEOLOGICAL_INTERPRETATION","CONFIRMED_SOURCE","NONE","src.aera.kh_monuments_unit;src.opencontext.arce_sphinx","Block-source matching is expert interpretation based on mapped strata."
"kn.giza.area_c.function","workforce_archaeology","area_c","Gallery function","Re-excavation favors storage/craft use rather than worker barracks","EXCAVATION_INTERPRETATION","CONFIRMED_SOURCE","NONE","src.aera.area_c","Does not by itself identify all occupants/workforce organization."
"kn.giza.geology.cliffline","geology","giza_plateau","Plateau geomorphology","Pliocene cliff-line context with lithology, joints and faults as morphogenetic controls","PEER_REVIEWED_GEOLOGY","CONFIRMED_SOURCE","NONE","src.aigner1983","Regional geological context; not a deep-void model."
"kn.giza.radiocarbon.sample_program","chronology","old_kingdom_chronology","Radiocarbon program","More than 450 organic samples collected across Old/Middle Kingdom monuments","PEER_REVIEWED_METHOD_RECORD","CONFIRMED_SOURCE","NONE","src.bonani2001.radiocarbon","Not all samples are Khafre-specific."
"kn.giza.radiocarbon.oldwood","chronology_method","old_kingdom_chronology","Old-wood caveat","Reused/old wood can bias charcoal ages older than construction event","METHOD_CAVEAT","CONFIRMED_METHOD_CONTEXT","NONE","src.aera.radiocarbon;src.bonani2001.radiocarbon","Radiocarbon offsets must not be read as direct proof of earlier pyramid construction."
"kn.giza.unesco.status","heritage","giza_plateau","World Heritage context","Giza lies within UNESCO property 86, inscribed 1979","INSTITUTIONAL_RECORD","CONFIRMED_SOURCE","NONE","src.unesco.memphis_necropolis","Heritage status, not archaeological proof."
"kn.khafre.condition.facade","conservation","khafre_pyramid","Facade fracture monitoring","2009–2012 photographic documentation with in-situ verification of major cracks in 2012","PEER_REVIEWED_CONDITION_STUDY","CONFIRMED_SOURCE","NONE_CONDITION_ONLY","src.procedia2016.khafre_deformations","Does not establish ancient crack origin or hidden geometry."
"kn.khafre.muography.status","geophysics","khafre_pyramid","ScIDEP status","2025 peer-reviewed paper documents project design/construction and planned multi-view muography; not a finished hidden-void result","PEER_REVIEWED_METHOD_STATUS","CONFIRMED_SOURCE","NONE","src.scidep2025","Method/project status only; no hidden-space claim promotion."
"kn.khafre.laser2025.status","survey","khafre_surface","2025 laser survey","AERA bibliography records a first laser survey of the Second Great Pyramid; underlying geometry data remain pending access","PUBLICATION_METADATA","CONFIRMED_METADATA","NONE_UNTIL_DATA_ACQUIRED","src.aera2025.khafre_laser","Existence of publication does not authorize point-cloud geometry."
"kn.khafre.open_media","imagery","khafre_complex","Open visual evidence","Rights-reviewed Commons assets plus Digital Giza catalog surface provide multi-date visual evidence","MEDIA_COLLECTION_FACT","CONFIRMED_SOURCE","NONE_UNTIL_REGISTERED","src.commons.khafre;src.commons.khafre.interior;src.digitalgiza.khafre.photos","Photos remain visual observations until camera registration and residual QA."
"kn.intent.royal_funeral_afterlife","ritual_function","old_kingdom_royal_pyramid_complex","Royal funeral / afterlife transition function","Royal pyramid complexes functioned as settings for funeral, procession and preparation of the deceased king for the afterlife.","SCHOLARLY_SYNTHESIS","CONFIRMED_SOURCE","NONE","src.digitalgiza.royal_pyramid_complexes","Functional interpretation applies to the royal pyramid-complex tradition; it does not identify every Khafre architectural detail with one ritual act."
"kn.intent.perpetual_offering_cult","ritual_function","old_kingdom_royal_pyramid_complex","Post-burial royal offering cult","After burial, priests used pyramid-complex spaces to maintain offerings and ritual service for the deceased king.","SCHOLARLY_SYNTHESIS","CONFIRMED_SOURCE","NONE","src.digitalgiza.royal_pyramid_complexes","This supports continuing cult function, not a claim that every surviving room has a securely identified ritual use."
"kn.intent.solar_kingship_context","ideology","old_kingdom_royal_pyramid_tradition","Solar kingship context","Old Kingdom pyramid architecture participated in an ideological environment of increasingly prominent solar kingship.","SCHOLARLY_CONTEXT","CONFIRMED_SOURCE","NONE","src.met.old_kingdom","General Old Kingdom context is not a Khafre-specific inscription proving a particular encoded solar message."
"kn.intent.centralized_state_context","political_organization","old_kingdom_state","Centralized-state context","The pyramid-building environment operated within a highly centralized royal state capable of planned monumental landscapes and concentrated administration.","SCHOLARLY_CONTEXT","CONFIRMED_SOURCE","NONE","src.met.old_kingdom","State capacity explains coordination context; it does not by itself establish the monument’s religious meaning."
"kn.action.valley_temple.statuary","ritual_architecture","khafre_valley_temple","Repeated royal statuary in Valley Temple","Multiple Khafre statues/fragments are cataloged from the Valley Temple; official museum record describes one 168 cm diorite statue as one of about 23 similar statues.","CROSS_SOURCE_OBJECT_PROVENANCE","CROSS_SOURCE_CONFIRMED","NONE","src.digitalgiza.khafre_valley_temple;src.egyptianmuseum.khafre_statue","Presence of statuary does not by itself reconstruct exact statue positions or a unique ritual action."
"kn.action.valley_temple.kingship_iconography","iconography","khafre_valley_temple","Kingship/unification iconography","Official museum description links the enthroned Khafre image with sema-tawy unification symbolism and Horus protection.","CURATORIAL_ICONOGRAPHIC_CONTEXT","CONFIRMED_SOURCE","NONE","src.egyptianmuseum.khafre_statue","Iconographic meaning belongs to the statue/object context and cannot be projected onto every temple action."
"kn.action.causeway.statue_find","archaeology","khafre_causeway","Statuary find associated with causeway","Digital Giza indexes a limestone statue head as a Khafre Causeway find.","CATALOG_FACT","CONFIRMED_SOURCE","NONE","src.digitalgiza.khafre_causeway","Find association does not establish original display position or processional use."
"kn.action.pyramid_temple.royal_threshold","architecture_epigraphy","khafre_pyramid_temple","Royal titulary at court doorway","Met curatorial reconstruction places Khafre’s cartouche on a red-granite architrave spanning a court doorway, with falcon/statue imagery associated with the piers.","CURATORIAL_ARCHITECTURAL_RECONSTRUCTION","CONFIRMED_SOURCE","NONE","src.met.khafre_architrave","Exact original pier/doorway placement requires primary excavation/plan reconciliation."
"kn.action.pyramid_temple.statuary","archaeology","khafre_pyramid_temple","Royal statuary in pyramid temple","Digital Giza indexes a lower part of a diorite striding statue of Khafre and another statue fragment among five finds from the pyramid temple.","CATALOG_FACT","CONFIRMED_SOURCE","NONE","src.digitalgiza.khafre_pyramid_temple","Find inventory does not establish exact ancient placement."
"kn.action.royal_complex.offering_to_images","ritual_function","old_kingdom_royal_pyramid_complex","Offerings/readings directed to royal images","Digital Giza describes living priests presenting offerings and religious readings to statues of the deceased king as part of the post-burial royal offering cult.","SCHOLARLY_SYNTHESIS","CONFIRMED_SOURCE","NONE","src.digitalgiza.royal_pyramid_complexes","General Old Kingdom royal-complex function; exact Khafre room-by-room rite remains unresolved."
"kn.room.valley.dual_entry","architecture_epigraphy","khafre_valley_temple","Dual east entrance with goddess associations","The east façade is reconstructed with two entrances; source synthesis associates Bastet with the north entrance and Hathor with the south.","CROSS_SOURCE_ARCHITECTURAL_SYNTHESIS","CONFIRMED_SOURCE","NONE","src.oxford.flentye2018;src.hoelscher1912","Associated flanking sphinx/lion reconstruction remains interpretive."
"kn.room.valley.statuary_grid","architecture_statuary","khafre_valley_temple_t_hall","23-position Valley Temple statuary field","The T-shaped hall preserves/reports 23 floor niches, with a 3/7/3/7/3 arrangement in Seidel’s reconstruction.","ARCHITECTURE_PLUS_RECONSTRUCTION","CONFIRMED_SOURCE","NONE","src.oxford.flentye2018;src.egyptianmuseum.khafre_statue","Specific statue-to-niche assignments remain reconstructed."
"kn.room.pyramid_temple.program","architecture","khafre_pyramid_temple","Pyramid Temple room program","Independent scholarly synthesis and Hölscher’s excavation monograph converge on pillared halls, a court, five chapel/serdab-like cult spaces, side/magazine spaces and a western inner zone.","CROSS_SOURCE_ROOM_PROGRAM","CONFIRMED_SOURCE","NONE","src.hoelscher1912;src.oxford.flentye2018","Exact room outlines require plan-byte parsing and modern survey reconciliation."
"kn.room.court.reconstruction_conflict","source_conflict","khafre_pyramid_temple_statue_court","Statue-court reconstruction remains non-unique","Physical emplacement evidence supports major statuary/stone installations, but statue type/pose and exact court reconstruction differ among Hölscher, Ricke, Arnold and Jánosi.","SOURCE_CONFLICT_SYNTHESIS","CONFLICT_PRESERVED","NONE","src.hoelscher1912;src.oxford.flentye2018","Do not render one disputed reconstruction as canonical ancient reality."
"kn.room.plan.metric_gap","research_priority","khafre_lower_complex","Room topology is ahead of metric plan custody","Room-level topology can now be source-addressed, while the highest-value 1:100 ARCE Valley Temple plan and key Hölscher plates are not yet checksum-bound local source bytes.","PROVENANCE_GAP","RESEARCH_PRIORITY","NONE","src.opencontext.arce_sphinx;src.hoelscher1912","Topology must remain schematic until source bytes and metric frame receipts exist."
